institution_name,fips_state_code,longitude,latitude,total_enrollment,full-time_enrollment,part-time_enrollment,control,level
Albany College of Pharmacy and Health Sciences,New York,-73.779063,42.650371,1331.0,1319.0,12.0,Private not-for-profit,4-year or above
Albany State University,Georgia,-84.141825,31.56928,6371.0,4367.0,2004.0,Public,4-year or above
Albany Technical College,Georgia,-84.174284,31.554340000000003,3181.0,1213.0,1968.0,Public,2-year
Albertus Magnus College,Connecticut,-72.92384799999998,41.332519,1456.0,1182.0,274.0,Private not-for-profit,4-year or above
Albion College,Michigan,-84.745639,42.245049,1533.0,1509.0,24.0,Private not-for-profit,4-year or above
Albright College,Pennsylvania,-75.90974200000002,40.361351,1934.0,1887.0,47.0,Private not-for-profit,4-year or above
Alcorn State University,Mississippi,-91.142854,31.877216,3658.0,3009.0,649.0,Public,4-year or above
Alderson Broaddus University,West Virginia,-80.047728,39.158067,911.0,859.0,52.0,Private not-for-profit,4-year or above
Alexandria Technical & Community College,Minnesota,-95.372369,45.873107,2614.0,1165.0,1449.0,Public,2-year
Alfred University,New York,-77.788106,42.254476,2302.0,1727.0,575.0,Private not-for-profit,4-year or above
Alice Lloyd College,Kentucky,-82.875068,37.335087,644.0,618.0,26.0,Private not-for-profit,4-year or above
All-State Career School-Allied Health Campus,Pennsylvania,-75.302151,39.866163,313.0,313.0,0.0,Private for-profit,2-year
Allan Hancock College,California,-120.421144,34.943715999999995,11285.0,3560.0,7725.0,Public,2-year
Allegany College of Maryland,Maryland,-78.730398,39.652152,2585.0,1095.0,1490.0,Public,2-year
Allegheny College,Pennsylvania,-80.14716800000002,41.64869,1771.0,1724.0,47.0,Private not-for-profit,4-year or above
Allegheny Wesleyan College,Ohio,-80.861232,40.86722,72.0,58.0,14.0,Private not-for-profit,4-year or above
Allen College,Iowa,-92.340148,42.530084,662.0,406.0,256.0,Private not-for-profit,4-year or above
Allen County Community College,Kansas,-95.396377,37.938038,2540.0,1030.0,1510.0,Public,2-year
Allen University,South Carolina,-81.020045,34.010348,743.0,688.0,55.0,Private not-for-profit,4-year or above
Alliant International University-San Diego,California,-117.094398,32.897056,3780.0,1455.0,2325.0,Private for-profit,4-year or above
Alma College,Michigan,-84.672053,43.38004,1433.0,1397.0,36.0,Private not-for-profit,4-year or above
Alpena Community College,Michigan,-83.44506899999998,45.081647,1429.0,670.0,759.0,Public,4-year or above
Altierus Career College-Bissonnet,Texas,-95.544702,29.677415000000003,383.0,382.0,1.0,Private not-for-profit,2-year
Altierus Career College-Norcross,Georgia,-84.155475,33.934121000000005,434.0,411.0,23.0,Private not-for-profit,2-year
Altierus Career College-Tampa,Florida,-82.49761600000002,27.996582,222.0,216.0,6.0,Private not-for-profit,2-year
Altierus Career College-Thornton,Colorado,-104.985441,39.86156,7.0,7.0,0.0,Private not-for-profit,2-year
Alvernia University,Pennsylvania,-75.93675400000002,40.310028,2792.0,1946.0,846.0,Private not-for-profit,4-year or above
Alverno College,Wisconsin,-87.965174,42.982842,1851.0,1384.0,467.0,Private not-for-profit,4-year or above
Alvin Community College,Texas,-95.240671,29.396244,5573.0,1302.0,4271.0,Public,2-year
Amarillo College,Texas,-101.846988,35.18783900000001,9854.0,3236.0,6618.0,Public,2-year
Amberton University,Texas,-96.65302,32.859931,1182.0,113.0,1069.0,Private not-for-profit,4-year or above
Ambria College of Nursing,Illinois,-88.2109,42.075628,234.0,8.0,226.0,Private for-profit,4-year or above
